Anime Title,Date of Release,Score,Member,Producer,Genre,Number of Episodes,Sources,Format,Licensor,Format0,Genre0,Genre1,Genre2,Genre3,Genre4,Genre Count,Licensor0,Licensor1,Licensor2
Ichiban Ushiro no Daimaou,"Apr 3, 2010",6.85,419946,Artland,"Action,Harem,Comedy,Magic,Ecchi,Fantasy,School",12 eps,Light novel,"      TV -                        Apr 3, 2010              ","Sentai Filmworks,",      TV ,Action,Harem,Comedy,Magic,Ecchi,7,Sentai Filmworks,,
Musaigen no Phantom World,"Jan 7, 2016, 00:00 (JST)",6.88,414351,Kyoto Animation,"Action,Comedy,Fantasy,Slice of Life,Supernatural",13 eps,Light novel,"      TV -                        Jan 7, 2016, 00:00 (JST)              ","Crunchyroll,Funimation,",      TV ,Action,Comedy,Fantasy,Slice of Life,Supernatural,5,Crunchyroll,Funimation,
Durarara!!x2 Shou,"Jan 10, 2015, 23:30 (JST)",8.01,403181,Shuka,"Action,Mystery,Supernatural",12 eps,Light novel,"      TV -                        Jan 10, 2015, 23:30 (JST)              ","Aniplex of America,",      TV ,Action,Mystery,Supernatural,,,3,Aniplex of America,,
Rurouni Kenshin: Meiji Kenkaku Romantan,"Jan 10, 1996, 19:30 (JST)",8.31,401862,Gallop,"Action,Adventure,Comedy,Historical,Romance,Samurai,Shounen",94 eps,Manga,"      TV -                        Jan 10, 1996, 19:30 (JST)              ","Media Blasters,",      TV ,Action,Adventure,Comedy,Historical,Romance,7,Media Blasters,,
Arifureta Shokugyou de Sekai Saikyou,"Jul 8, 2019, 23:30 (JST)",6.57,400737,Asread,"Action,Adventure,Fantasy,Harem",13 eps,Light novel,"      TV -                        Jul 8, 2019, 23:30 (JST)              ","Funimation,",      TV ,Action,Adventure,Fantasy,Harem,,4,Funimation,,
Black Lagoon: The Second Barrage,"Oct 3, 2006, 01:59 (JST)",8.19,398785,Madhouse,"Action,Seinen",12 eps,Manga,"      TV -                        Oct 3, 2006, 01:59 (JST)              ","Funimation,Geneon Entertainment USA,",      TV ,Action,Seinen,,,,2,Funimation,Geneon Entertainment USA,
Sousei no Onmyouji,"Apr 6, 2016, 18:25 (JST)",7.31,398208,Studio Pierrot,"Action,Supernatural,Romance,Fantasy,Shounen",50 eps,Manga,"      TV -                        Apr 6, 2016, 18:25 (JST)              ","Crunchyroll,",      TV ,Action,Supernatural,Romance,Fantasy,Shounen,5,Crunchyroll,,
The Last: Naruto the Movie,"Dec 6, 2014",7.76,398064,Studio Pierrot,"Action,Super Power,Romance,Martial Arts,Shounen",1 ep,Manga,"      Movie -                        Dec 6, 2014              ","VIZ Media,",      Movie ,Action,Super Power,Romance,Martial Arts,Shounen,5,VIZ Media,,
Shinchou Yuusha: Kono Yuusha ga Ore Tueee Kuse ni Shinchou Sugiru,"Oct 2, 2019, 22:30 (JST)",7.52,395568,White Fox,"Action,Adventure,Comedy,Fantasy",12 eps,Light novel,"      TV -                        Oct 2, 2019, 22:30 (JST)              ","Funimation,",      TV ,Action,Adventure,Comedy,Fantasy,,4,Funimation,,
Tokyo Ravens,"Oct 9, 2013, 00:30 (JST)",7.5,394033,8bit,"Action,Comedy,Supernatural,Magic,Romance,School",24 eps,Light novel,"      TV -                        Oct 9, 2013, 00:30 (JST)              ","Funimation,",      TV ,Action,Comedy,Supernatural,Magic,Romance,6,Funimation,,
Gintama',"Apr 4, 2011, 18:00 (JST)",9.06,391806,Sunrise,"Action,Sci-Fi,Comedy,Historical,Parody,Samurai,Shounen",51 eps,Manga,"      TV -                        Apr 4, 2011, 18:00 (JST)              ",,      TV ,Action,Sci-Fi,Comedy,Historical,Parody,7,,,
Kaze no Stigma,"Apr 13, 2007, 01:30 (JST)",7.24,389498,Gonzo,"Action,Supernatural,Magic,Romance",24 eps,Light novel,"      TV -                        Apr 13, 2007, 01:30 (JST)              ","Funimation,",      TV ,Action,Supernatural,Magic,Romance,,4,Funimation,,
Evangelion: 1.0 You Are (Not) Alone,"Sep 1, 2007",8.06,388256,Khara,"Action,Sci-Fi,Psychological,Drama,Mecha",1 ep,Original,"      Movie -                        Sep 1, 2007              ","Funimation,",      Movie ,Action,Sci-Fi,Psychological,Drama,Mecha,5,Funimation,,
Toaru Majutsu no Index II,"Oct 8, 2010, 23:30 (JST)",7.59,383204,J.C.Staff,"Action,Magic,Sci-Fi,Super Power",24 eps,Light novel,"      TV -                        Oct 8, 2010, 23:30 (JST)              ","Funimation,",      TV ,Action,Magic,Sci-Fi,Super Power,,4,Funimation,,
Re:Creators,"Apr 8, 2017, 23:30 (JST)",7.57,381317,TROYCA,"Action,Sci-Fi,Fantasy,Mecha",22 eps,Original,"      TV -                        Apr 8, 2017, 23:30 (JST)              ",,      TV ,Action,Sci-Fi,Fantasy,Mecha,,4,,,
Zero no Tsukaima: Princesses no Rondo,"Jul 7, 2008, 00:30 (JST)",7.38,380522,J.C.Staff,"Action,Adventure,Harem,Comedy,Magic,Romance,Ecchi,Fantasy,School",12 eps,Light novel,"      TV -                        Jul 7, 2008, 00:30 (JST)              ","Sentai Filmworks,",      TV ,Action,Adventure,Harem,Comedy,Magic,9,Sentai Filmworks,,
Megalo Box,"Apr 6, 2018, 01:28 (JST)",7.91,379895,TMS Entertainment,"Action,Sci-Fi,Sports,Drama",13 eps,Original,"      TV -                        Apr 6, 2018, 01:28 (JST)              ","VIZ Media,",      TV ,Action,Sci-Fi,Sports,Drama,,4,VIZ Media,,
Evangelion: 2.0 You Can (Not) Advance,"Jul 27, 2009",8.34,372985,Khara,"Action,Sci-Fi,Psychological,Drama,Mecha",1 ep,Original,"      Movie -                        Jul 27, 2009              ","Funimation,",      Movie ,Action,Sci-Fi,Psychological,Drama,Mecha,5,Funimation,,
Magi: Sinbad no Bouken (TV),"Apr 16, 2016, 02:25 (JST)",7.89,370885,Lay-duce,"Action,Adventure,Fantasy,Magic,Shounen",13 eps,Manga,"      TV -                        Apr 16, 2016, 02:25 (JST)              ",,      TV ,Action,Adventure,Fantasy,Magic,Shounen,5,,,
Kenja no Mago,"Apr 10, 2019, 23:30 (JST)",6.55,368186,SILVER LINK.,"Action,Comedy,Magic,Romance,Fantasy",12 eps,Light novel,"      TV -                        Apr 10, 2019, 23:30 (JST)              ","Funimation,",      TV ,Action,Comedy,Magic,Romance,Fantasy,5,Funimation,,
Sword Art Online: Alicization - War of Underworld 2nd Season,"Jul 12, 2020, 00:00 (JST)",7.43,366676,A-1 Pictures,"Action,Game,Adventure,Romance,Fantasy",11 eps,Light novel,"      TV -                        Jul 12, 2020, 00:00 (JST)              ","Aniplex of America,",      TV ,Action,Game,Adventure,Romance,Fantasy,5,Aniplex of America,,
Fate/Apocrypha,"Jul 2, 2017, 00:00 (JST)",7.16,361512,A-1 Pictures,"Action,Supernatural,Drama,Magic,Fantasy",25 eps,Light novel,"      TV -                        Jul 2, 2017, 00:00 (JST)              ","Aniplex of America,",      TV ,Action,Supernatural,Drama,Magic,Fantasy,5,Aniplex of America,,
Shingeki no Kyojin: Kuinaki Sentaku,"Dec 9, 2014",8.4,360446,Wit Studio,"Action,Fantasy,Shoujo",2 eps,Visual novel,"      OVA -                        Dec 9, 2014              ",,      OVA ,Action,Fantasy,Shoujo,,,3,,,
Darker than Black: Ryuusei no Gemini,"Oct 9, 2009",7.47,359884,Bones,"Action,Sci-Fi,Mystery,Super Power",12 eps,Original,"      TV -                        Oct 9, 2009              ","Funimation,",      TV ,Action,Sci-Fi,Mystery,Super Power,,4,Funimation,,
Great Pretender,"Jun 2, 2020",8.33,354735,Wit Studio,"Action,Adventure,Mystery,Comedy,Psychological",23 eps,Original,"      ONA -                        Jun 2, 2020              ",,      ONA ,Action,Adventure,Mystery,Comedy,Psychological,5,,,
Dungeon ni Deai wo Motomeru no wa Machigatteiru Darou ka III,"Oct 3, 2020, 00:30 (JST)",7.46,354321,J.C.Staff,"Action,Adventure,Comedy,Romance,Fantasy",12 eps,Light novel,"      TV -                        Oct 3, 2020, 00:30 (JST)              ","Sentai Filmworks,",      TV ,Action,Adventure,Comedy,Romance,Fantasy,5,Sentai Filmworks,,
Fairy Tail: Final Series,"Oct 7, 2018, 07:00 (JST)",7.53,353668,A-1 Pictures,"Action,Adventure,Comedy,Magic,Fantasy,Shounen",51 eps,Manga,"      TV -                        Oct 7, 2018, 07:00 (JST)              ","Funimation,",      TV ,Action,Adventure,Comedy,Magic,Fantasy,6,Funimation,,
Bungou Stray Dogs 3rd Season,"Apr 12, 2019, 22:30 (JST)",8.18,352855,Bones,"Action,Mystery,Seinen,Super Power,Supernatural",12 eps,Manga,"      TV -                        Apr 12, 2019, 22:30 (JST)              ",,      TV ,Action,Mystery,Seinen,Super Power,Supernatural,5,,,
No.6,"Jul 8, 2011, 01:15 (JST)",7.57,348911,Bones,"Action,Sci-Fi,Mystery,Drama",11 eps,Novel,"      TV -                        Jul 8, 2011, 01:15 (JST)              ","Sentai Filmworks,",      TV ,Action,Sci-Fi,Mystery,Drama,,4,Sentai Filmworks,,
Boruto: Naruto the Movie,"Aug 7, 2015",7.47,344616,Studio Pierrot,"Action,Comedy,Martial Arts,Shounen,Super Power",1 ep,Manga,"      Movie -                        Aug 7, 2015              ","VIZ Media,",      Movie ,Action,Comedy,Martial Arts,Shounen,Super Power,5,VIZ Media,,
Shingeki no Bahamut: Genesis,"Oct 6, 2014, 23:30 (JST)",7.66,342009,MAPPA,"Action,Adventure,Demons,Supernatural,Magic,Fantasy",12 eps,Card game,"      TV -                        Oct 6, 2014, 23:30 (JST)              ","Funimation,",      TV ,Action,Adventure,Demons,Supernatural,Magic,6,Funimation,,
Darwin's Game,"Jan 4, 2020, 00:00 (JST)",7.27,341156,Nexus,"Action,Sci-Fi,Mystery,Super Power,Shounen",11 eps,Manga,"      TV -                        Jan 4, 2020, 00:00 (JST)              ","Aniplex of America,",      TV ,Action,Sci-Fi,Mystery,Super Power,Shounen,5,Aniplex of America,,
Sekirei,"Jul 2, 2008, 23:30 (JST)",7.11,340472,Seven Arcs,"Action,Comedy,Ecchi,Harem,Super Power",12 eps,Manga,"      TV -                        Jul 2, 2008, 23:30 (JST)              ","Funimation,",      TV ,Action,Comedy,Ecchi,Harem,Super Power,5,Funimation,,
High School DxD Hero,"Apr 17, 2018, 23:00 (JST)",7.26,339978,Passione,"Action,Harem,Comedy,Demons,Romance,Ecchi,School",12 eps,Light novel,"      TV -                        Apr 17, 2018, 23:00 (JST)              ","Funimation,",      TV ,Action,Harem,Comedy,Demons,Romance,7,Funimation,,
Digimon Adventure,"Mar 7, 1999, 09:00 (JST)",7.78,338548,Toei Animation,"Action,Adventure,Comedy,Fantasy,Kids",54 eps,Other,"      TV -                        Mar 7, 1999, 09:00 (JST)              ","Flatiron Film Company,Saban Entertainment,",      TV ,Action,Adventure,Comedy,Fantasy,Kids,5,Flatiron Film Company,Saban Entertainment,
Kara no Kyoukai 1: Fukan Fuukei,"Dec 1, 2007",7.63,338514,ufotable,"Action,Mystery,Supernatural,Thriller",1 ep,Light novel,"      Movie -                        Dec 1, 2007              ","Aniplex of America,",      Movie ,Action,Mystery,Supernatural,Thriller,,4,Aniplex of America,,
Hagure Yuusha no Aesthetica,"Jul 6, 2012, 10:30 (JST)",6.86,336508,Arms,"Action,Super Power,Ecchi,Fantasy",12 eps,Light novel,"      TV -                        Jul 6, 2012, 10:30 (JST)              ","Funimation,",      TV ,Action,Super Power,Ecchi,Fantasy,,4,Funimation,,
Dungeon ni Deai wo Motomeru no wa Machigatteiru Darou ka Gaiden: Sword Oratoria,"Apr 15, 2017, 00:30 (JST)",7.05,336350,J.C.Staff,"Action,Adventure,Fantasy",12 eps,Light novel,"      TV -                        Apr 15, 2017, 00:30 (JST)              ","Sentai Filmworks,",      TV ,Action,Adventure,Fantasy,,,3,Sentai Filmworks,,
Koukaku Kidoutai: Stand Alone Complex,"Oct 1, 2002",8.44,335584,Production I.G,"Action,Military,Sci-Fi,Police,Mecha,Seinen",26 eps,Manga,"      TV -                        Oct 1, 2002              ","Bandai Entertainment,Manga Entertainment,",      TV ,Action,Military,Sci-Fi,Police,Mecha,6,Bandai Entertainment,Manga Entertainment,
Kizumonogatari III: Reiketsu-hen,"Jan 6, 2017",8.81,334741,Shaft,"Action,Mystery,Supernatural,Vampire",1 ep,Light novel,"      Movie -                        Jan 6, 2017              ",,      Movie ,Action,Mystery,Supernatural,Vampire,,4,,,
Shingeki no Kyojin OVA,"Dec 9, 2013",7.84,333165,Wit Studio,"Action,Super Power,Drama,Fantasy,Shounen",3 eps,Manga,"      OVA -                        Dec 9, 2013              ",,      OVA ,Action,Super Power,Drama,Fantasy,Shounen,5,,,
Kore wa Zombie Desu ka? of the Dead,"Apr 5, 2012",7.54,331746,Studio Deen,"Action,Harem,Comedy,Supernatural,Magic,Ecchi",10 eps,Light novel,"      TV -                        Apr 5, 2012              ","Funimation,",      TV ,Action,Harem,Comedy,Supernatural,Magic,6,Funimation,,
Kizumonogatari II: Nekketsu-hen,"Aug 19, 2016",8.61,328526,Shaft,"Action,Mystery,Supernatural,Vampire",1 ep,Light novel,"      Movie -                        Aug 19, 2016              ","Aniplex of America,",      Movie ,Action,Mystery,Supernatural,Vampire,,4,Aniplex of America,,
Boku no Hero Academia the Movie 2: Heroes:Rising,"Dec 20, 2019",8.06,328216,Bones,"Action,Super Power,Shounen",1 ep,Manga,"      Movie -                        Dec 20, 2019              ","Funimation,",      Movie ,Action,Super Power,Shounen,,,3,Funimation,,
Blood+,"Oct 8, 2005, 18:00 (JST)",7.65,327092,Production I.G,"Action,Military,Mystery,Horror,Supernatural,Drama,Vampire",50 eps,Original,"      TV -                        Oct 8, 2005, 18:00 (JST)              ","Sony Pictures Entertainment,",      TV ,Action,Military,Mystery,Horror,Supernatural,7,Sony Pictures Entertainment,,
Durarara!!x2 Ten,"Jul 4, 2015, 23:30 (JST)",8.0,326007,Shuka,"Action,Mystery,Supernatural",12 eps,Light novel,"      TV -                        Jul 4, 2015, 23:30 (JST)              ","Aniplex of America,",      TV ,Action,Mystery,Supernatural,,,3,Aniplex of America,,
Houseki no Kuni (TV),"Oct 7, 2017, 21:30 (JST)",8.41,325040,Orange,"Action,Drama,Fantasy,Mystery,Seinen",12 eps,Manga,"      TV -                        Oct 7, 2017, 21:30 (JST)              ","Sentai Filmworks,",      TV ,Action,Drama,Fantasy,Mystery,Seinen,5,Sentai Filmworks,,
Hidan no Aria,"Apr 15, 2011",6.86,321391,J.C.Staff,"Action,Comedy,Romance,School",12 eps,Light novel,"      TV -                        Apr 15, 2011              ","Funimation,",      TV ,Action,Comedy,Romance,School,,4,Funimation,,
IS: Infinite Stratos 2,"Oct 4, 2013, 01:58 (JST)",6.52,320905,8bit,"Action,Sci-Fi,Harem,Comedy,Ecchi,Mecha",12 eps,Light novel,"      TV -                        Oct 4, 2013, 01:58 (JST)              ","Sentai Filmworks,",      TV ,Action,Sci-Fi,Harem,Comedy,Ecchi,6,Sentai Filmworks,,
Kekkai Sensen & Beyond,"Oct 8, 2017, 03:08 (JST)",7.86,320477,Bones,"Action,Comedy,Fantasy,Shounen,Super Power,Supernatural,Vampire",12 eps,Manga,"      TV -                        Oct 8, 2017, 03:08 (JST)              ","Funimation,",      TV ,Action,Comedy,Fantasy,Shounen,Super Power,7,Funimation,,
Hitsugi no Chaika,"Apr 10, 2014, 01:05 (JST)",7.27,320123,Bones,"Action,Adventure,Comedy,Romance,Fantasy",12 eps,Light novel,"      TV -                        Apr 10, 2014, 01:05 (JST)              ","Sentai Filmworks,",      TV ,Action,Adventure,Comedy,Romance,Fantasy,5,Sentai Filmworks,,
Dorohedoro,"Jan 13, 2020, 00:00 (JST)",8.1,318269,MAPPA,"Action,Comedy,Horror,Magic,Fantasy,Seinen",12 eps,Manga,"      TV -                        Jan 13, 2020, 00:00 (JST)              ","Netflix,",      TV ,Action,Comedy,Horror,Magic,Fantasy,6,Netflix,,
Keijo!!!!!!!!,"Oct 6, 2016, 23:30 (JST)",6.99,316279,Xebec,"Action,Sports,Ecchi,Shounen",12 eps,Manga,"      TV -                        Oct 6, 2016, 23:30 (JST)              ","Funimation,",      TV ,Action,Sports,Ecchi,Shounen,,4,Funimation,,
Arslan Senki (TV),"Apr 5, 2015, 17:00 (JST)",7.7,313966,LIDENFILMS,"Action,Adventure,Drama,Fantasy,Historical,Shounen",25 eps,Manga,"      TV -                        Apr 5, 2015, 17:00 (JST)              ","Funimation,",      TV ,Action,Adventure,Drama,Fantasy,Historical,6,Funimation,,
Itai no wa Iya nano de Bougyoryoku ni Kyokufuri Shitai to Omoimasu.,"Jan 8, 2020, 22:00 (JST)",7.57,313166,SILVER LINK.,"Action,Game,Sci-Fi,Adventure,Comedy,Fantasy",12 eps,Light novel,"      TV -                        Jan 8, 2020, 22:00 (JST)              ","Funimation,",      TV ,Action,Game,Sci-Fi,Adventure,Comedy,6,Funimation,,
Kuroshitsuji: Book of Circus,"Jul 11, 2014, 02:19 (JST)",8.11,312716,A-1 Pictures,"Action,Mystery,Comedy,Historical,Demons,Supernatural,Shounen",10 eps,Manga,"      TV -                        Jul 11, 2014, 02:19 (JST)              ","Funimation,",      TV ,Action,Mystery,Comedy,Historical,Demons,7,Funimation,,
Durarara!!x2 Ketsu,"Jan 9, 2016, 23:30 (JST)",8.09,311607,Shuka,"Action,Mystery,Supernatural",12 eps,Light novel,"      TV -                        Jan 9, 2016, 23:30 (JST)              ","Aniplex of America,",      TV ,Action,Mystery,Supernatural,,,3,Aniplex of America,,
Toaru Kagaku no Railgun S,"Apr 12, 2013, 23:30 (JST)",8.05,311605,J.C.Staff,"Action,Sci-Fi,Super Power",24 eps,Manga,"      TV -                        Apr 12, 2013, 23:30 (JST)              ","Funimation,",      TV ,Action,Sci-Fi,Super Power,,,3,Funimation,,
Gleipnir,"Apr 5, 2020, 23:30 (JST)",7.01,311104,Pine Jam,"Action,Mystery,Supernatural,Ecchi,Seinen",13 eps,Manga,"      TV -                        Apr 5, 2020, 23:30 (JST)              ","Funimation,",      TV ,Action,Mystery,Supernatural,Ecchi,Seinen,5,Funimation,,
Black★Rock Shooter (TV),"Feb 3, 2012, 00:45 (JST)",6.84,308985,Ordet,"Action,Drama,School,Slice of Life",8 eps,Other,"      TV -                        Feb 3, 2012, 00:45 (JST)              ","Discotek Media,",      TV ,Action,Drama,School,Slice of Life,,4,Discotek Media,,
Shaman King,"Jul 4, 2001, 18:30 (JST)",7.78,308090,Xebec,"Action,Adventure,Comedy,Super Power,Supernatural,Shounen",64 eps,Manga,"      TV -                        Jul 4, 2001, 18:30 (JST)              ","4Kids Entertainment,",      TV ,Action,Adventure,Comedy,Super Power,Supernatural,6,4Kids Entertainment,,
Panty & Stocking with Garterbelt,"Oct 2, 2010",7.72,307027,Gainax,"Action,Comedy,Parody,Supernatural,Ecchi",13 eps,Original,"      TV -                        Oct 2, 2010              ","Funimation,",      TV ,Action,Comedy,Parody,Supernatural,Ecchi,5,Funimation,,
Air Gear,"Apr 5, 2006, 01:00 (JST)",7.52,305768,Toei Animation,"Action,Comedy,Ecchi,Shounen,Sports",25 eps,Manga,"      TV -                        Apr 5, 2006, 01:00 (JST)              ","ADV Films,Funimation,",      TV ,Action,Comedy,Ecchi,Shounen,Sports,5,ADV Films,Funimation,
Saijaku Muhai no Bahamut,"Jan 11, 2016, 22:30 (JST)",6.59,299100,Lerche,"Action,Harem,Supernatural,Romance,Ecchi,Fantasy,Mecha,School",12 eps,Light novel,"      TV -                        Jan 11, 2016, 22:30 (JST)              ","Sentai Filmworks,",      TV ,Action,Harem,Supernatural,Romance,Ecchi,8,Sentai Filmworks,,
Mirai Nikki: Redial,"Jun 19, 2013",7.37,297720,Asread,"Action,Psychological,Supernatural,Shounen",1 ep,Manga,"      OVA -                        Jun 19, 2013              ","Funimation,",      OVA ,Action,Psychological,Supernatural,Shounen,,4,Funimation,,
Fate/stay night Movie: Heaven's Feel - I. Presage Flower,"Oct 14, 2017",8.25,297652,ufotable,"Action,Fantasy,Magic,Supernatural",1 ep,Visual novel,"      Movie -                        Oct 14, 2017              ","Aniplex of America,",      Movie ,Action,Fantasy,Magic,Supernatural,,4,Aniplex of America,,
Shinmai Maou no Testament Burst,"Oct 10, 2015, 01:40 (JST)",6.88,297622,Production IMS,"Action,Ecchi,Fantasy,Romance,Harem,Demons",10 eps,Light novel,"      TV -                        Oct 10, 2015, 01:40 (JST)              ","Crunchyroll,Funimation,",      TV ,Action,Ecchi,Fantasy,Romance,Harem,6,Crunchyroll,Funimation,
Gantz,"Apr 13, 2004",7.03,296434,Gonzo,"Action,Sci-Fi,Horror,Psychological,Supernatural,Drama,Ecchi",13 eps,Manga,"      TV -                        Apr 13, 2004              ","ADV Films,Funimation,",      TV ,Action,Sci-Fi,Horror,Psychological,Supernatural,7,ADV Films,Funimation,
Seireitsukai no Blade Dance,"Jul 14, 2014, 20:30 (JST)",6.79,296107,TNK,"Action,Harem,Comedy,Supernatural,Romance,Ecchi,Fantasy,School",12 eps,Light novel,"      TV -                        Jul 14, 2014, 20:30 (JST)              ","Sentai Filmworks,",      TV ,Action,Harem,Comedy,Supernatural,Romance,8,Sentai Filmworks,,
Quanzhi Gaoshou,"Apr 7, 2017",7.96,293701,B.CMAY PICTURES,"Action,Game",12 eps,Novel,"      ONA -                        Apr 7, 2017              ",,      ONA ,Action,Game,,,,2,,,
Suisei no Gargantia,"Apr 7, 2013, 22:00 (JST)",7.49,291084,Production I.G,"Action,Sci-Fi,Adventure,Mecha",13 eps,Original,"      TV -                        Apr 7, 2013, 22:00 (JST)              ","VIZ Media,",      TV ,Action,Sci-Fi,Adventure,Mecha,,4,VIZ Media,,
World Trigger,"Oct 5, 2014, 06:30 (JST)",7.58,290612,Toei Animation,"Action,Sci-Fi,Supernatural,School,Shounen",73 eps,Manga,"      TV -                        Oct 5, 2014, 06:30 (JST)              ",,      TV ,Action,Sci-Fi,Supernatural,School,Shounen,5,,,
Afro Samurai,"May 3, 2007",7.36,289994,Gonzo,"Action,Adventure,Samurai",5 eps,Original,"      TV -                        May 3, 2007              ","Funimation,",      TV ,Action,Adventure,Samurai,,,3,Funimation,,
Evangelion: 3.0 You Can (Not) Redo,"Nov 17, 2012",7.6,288790,Khara,"Action,Sci-Fi,Psychological,Drama,Mecha",1 ep,Original,"      Movie -                        Nov 17, 2012              ","Funimation,",      Movie ,Action,Sci-Fi,Psychological,Drama,Mecha,5,Funimation,,
Dragon Ball Kai,"Apr 5, 2009, 09:00 (JST)",7.71,288407,Toei Animation,"Action,Adventure,Comedy,Fantasy,Martial Arts,Shounen,Super Power",97 eps,Manga,"      TV -                        Apr 5, 2009, 09:00 (JST)              ","Funimation,",      TV ,Action,Adventure,Comedy,Fantasy,Martial Arts,7,Funimation,,
Hundred,"Apr 5, 2016, 02:05 (JST)",6.34,288284,Production IMS,"Action,Sci-Fi,Harem,Romance,Ecchi,Mecha,School",12 eps,Light novel,"      TV -                        Apr 5, 2016, 02:05 (JST)              ","Crunchyroll,Funimation,",      TV ,Action,Sci-Fi,Harem,Romance,Ecchi,7,Crunchyroll,Funimation,
Cowboy Bebop: Tengoku no Tobira,"Sep 1, 2001",8.39,287726,Bones,"Action,Drama,Mystery,Sci-Fi,Space",1 ep,Original,"      Movie -                        Sep 1, 2001              ","Sony Pictures Entertainment,",      Movie ,Action,Drama,Mystery,Sci-Fi,Space,5,Sony Pictures Entertainment,,
Jormungand,"Apr 11, 2012",7.84,283096,White Fox,"Action,Adventure,Seinen",12 eps,Manga,"      TV -                        Apr 11, 2012              ","Funimation,",      TV ,Action,Adventure,Seinen,,,3,Funimation,,
Busou Shoujo Machiavellianism,"Apr 5, 2017, 23:00 (JST)",6.94,280244,Connect,"Action,Comedy,School,Shounen",12 eps,Manga,"      TV -                        Apr 5, 2017, 23:00 (JST)              ","Sentai Filmworks,",      TV ,Action,Comedy,School,Shounen,,4,Sentai Filmworks,,
Wolf's Rain,"Jan 7, 2003, 02:10 (JST)",7.82,279866,Bones,"Action,Adventure,Drama,Fantasy,Mystery,Sci-Fi",26 eps,Original,"      TV -                        Jan 7, 2003, 02:10 (JST)              ","Bandai Entertainment,Funimation,",      TV ,Action,Adventure,Drama,Fantasy,Mystery,6,Bandai Entertainment,Funimation,
Phantom: Requiem for the Phantom,"Apr 3, 2009, 02:15 (JST)",8.0,279390,Bee Train,"Action,Drama,Seinen,Thriller",26 eps,Visual novel,"      TV -                        Apr 3, 2009, 02:15 (JST)              ","Funimation,",      TV ,Action,Drama,Seinen,Thriller,,4,Funimation,,
Redline,"Aug 14, 2009",8.29,278786,Madhouse,"Action,Sci-Fi,Cars,Sports",1 ep,Original,"      Movie -                        Aug 14, 2009              ","Anchor Bay Films,",      Movie ,Action,Sci-Fi,Cars,Sports,,4,Anchor Bay Films,,
Ben-To,"Oct 9, 2011",7.26,278747,David Production,"Action,Comedy,Martial Arts",12 eps,Light novel,"      TV -                        Oct 9, 2011              ","Funimation,",      TV ,Action,Comedy,Martial Arts,,,3,Funimation,,
Freezing,"Jan 8, 2011, 09:30 (JST)",6.88,278054,A.C.G.T.,"Action,Sci-Fi,Harem,Drama,Romance,Ecchi,Martial Arts,Seinen",12 eps,Manga,"      TV -                        Jan 8, 2011, 09:30 (JST)              ","Funimation,",      TV ,Action,Sci-Fi,Harem,Drama,Romance,8,Funimation,,
Shakugan no Shana II (Second),"Oct 5, 2007, 01:25 (JST)",7.59,276586,J.C.Staff,"Action,Supernatural,Drama,Romance,Fantasy,School",24 eps,Light novel,"      TV -                        Oct 5, 2007, 01:25 (JST)              ","Funimation,",      TV ,Action,Supernatural,Drama,Romance,Fantasy,6,Funimation,,
Tales of Zestiria the Cross,"Jul 10, 2016, 23:00 (JST)",7.29,275837,ufotable,"Action,Adventure,Magic,Fantasy",12 eps,Game,"      TV -                        Jul 10, 2016, 23:00 (JST)              ","Funimation,",      TV ,Action,Adventure,Magic,Fantasy,,4,Funimation,,
Machine-Doll wa Kizutsukanai,"Oct 7, 2013, 20:30 (JST)",7.12,273594,Lerche,"Action,Ecchi,Fantasy,School",12 eps,Light novel,"      TV -                        Oct 7, 2013, 20:30 (JST)              ","Funimation,",      TV ,Action,Ecchi,Fantasy,School,,4,Funimation,,
Seikon no Qwaser,"Jan 10, 2010, 03:28 (JST)",6.42,273209,Hoods Entertainment,"Action,Super Power,Supernatural,Ecchi,Seinen",24 eps,Manga,"      TV -                        Jan 10, 2010, 03:28 (JST)              ","Sentai Filmworks,",      TV ,Action,Super Power,Supernatural,Ecchi,Seinen,5,Sentai Filmworks,,
Danganronpa 3: The End of Kibougamine Gakuen - Mirai-hen,"Jul 11, 2016, 23:00 (JST)",7.32,273175,Lerche,"Action,Mystery,Horror,Psychological",12 eps,Game,"      TV -                        Jul 11, 2016, 23:00 (JST)              ","Funimation,",      TV ,Action,Mystery,Horror,Psychological,,4,Funimation,,
Blood-C,"Jul 8, 2011",6.54,273117,Production I.G,"Action,Mystery,Horror,Supernatural,Vampire,School",12 eps,Manga,"      TV -                        Jul 8, 2011              ","Funimation,",      TV ,Action,Mystery,Horror,Supernatural,Vampire,6,Funimation,,
Aldnoah.Zero 2nd Season,"Jan 11, 2015, 00:00 (JST)",6.96,272110,A-1 Pictures,"Action,Mecha,Sci-Fi,Space",12 eps,Original,"      TV -                        Jan 11, 2015, 00:00 (JST)              ","Aniplex of America,",      TV ,Action,Mecha,Sci-Fi,Space,,4,Aniplex of America,,
Stranger: Mukou Hadan,"Sep 29, 2007",8.3,271253,Bones,"Action,Adventure,Historical,Samurai",1 ep,Original,"      Movie -                        Sep 29, 2007              ","Bandai Entertainment,Funimation,",      Movie ,Action,Adventure,Historical,Samurai,,4,Bandai Entertainment,Funimation,
