Anime Title,Date of Release,Score,Member,Producer,Genre,Number of Episodes,Sources,Format,Licensor,Format0,Genre0,Genre1,Genre2,Genre3,Genre4,Genre Count,Licensor0,Licensor1,Licensor2
Magi: The Labyrinth of Magic,"Oct 7, 2012, 17:00 (JST)",8.05,819919,A-1 Pictures,"Action,Adventure,Fantasy,Magic,Shounen",25 eps,Manga,"      TV -                        Oct 7, 2012, 17:00 (JST)              ","Aniplex of America,",      TV ,Action,Adventure,Fantasy,Magic,Shounen,5,Aniplex of America,,
Tokyo Revengers,"Apr 11, 2021, 02:08 (JST)",8.05,250799,LIDENFILMS,"Action,Drama,School,Shounen,Supernatural",? eps,Manga,"      TV -                        Apr 11, 2021, 02:08 (JST)              ",,      TV ,Action,Drama,School,Shounen,Supernatural,5,,,
Boku no Hero Academia,"Apr 3, 2016, 17:00 (JST)",8.05,2139153,Bones,"Action,Comedy,School,Shounen,Super Power",13 eps,Manga,"      TV -                        Apr 3, 2016, 17:00 (JST)              ","Funimation,",      TV ,Action,Comedy,School,Shounen,Super Power,5,Funimation,,
Toaru Kagaku no Railgun S,"Apr 12, 2013, 23:30 (JST)",8.05,311605,J.C.Staff,"Action,Sci-Fi,Super Power",24 eps,Manga,"      TV -                        Apr 12, 2013, 23:30 (JST)              ","Funimation,",      TV ,Action,Sci-Fi,Super Power,,,3,Funimation,,
FLCL,"Apr 26, 2000",8.04,643105,Gainax,"Action,Sci-Fi,Comedy,Parody,Dementia,Psychological,Mecha",6 eps,Original,"      OVA -                        Apr 26, 2000              ","Funimation,Synch-Point,",      OVA ,Action,Sci-Fi,Comedy,Parody,Dementia,7,Funimation,Synch-Point,
Black Lagoon,"Apr 9, 2006, 02:35 (JST)",8.04,748174,Madhouse,"Action,Seinen",12 eps,Manga,"      TV -                        Apr 9, 2006, 02:35 (JST)              ","Funimation,Geneon Entertainment USA,",      TV ,Action,Seinen,,,,2,Funimation,Geneon Entertainment USA,
D.Gray-man,"Oct 3, 2006, 18:00 (JST)",8.04,587896,TMS Entertainment,"Action,Adventure,Comedy,Super Power,Demons,Shounen",103 eps,Manga,"      TV -                        Oct 3, 2006, 18:00 (JST)              ","Funimation,",      TV ,Action,Adventure,Comedy,Super Power,Demons,6,Funimation,,
Akatsuki no Yona,"Oct 7, 2014, 23:00 (JST)",8.04,631381,Studio Pierrot,"Action,Adventure,Comedy,Fantasy,Romance,Shoujo",24 eps,Manga,"      TV -                        Oct 7, 2014, 23:00 (JST)              ","Funimation,",      TV ,Action,Adventure,Comedy,Fantasy,Romance,6,Funimation,,
Boku no Hero Academia 4th Season,"Oct 12, 2019, 17:30 (JST)",8.02,1103299,Bones,"Action,Comedy,Super Power,School,Shounen",25 eps,Manga,"      TV -                        Oct 12, 2019, 17:30 (JST)              ","Funimation,",      TV ,Action,Comedy,Super Power,School,Shounen,5,Funimation,,
Durarara!!x2 Shou,"Jan 10, 2015, 23:30 (JST)",8.01,403181,Shuka,"Action,Mystery,Supernatural",12 eps,Light novel,"      TV -                        Jan 10, 2015, 23:30 (JST)              ","Aniplex of America,",      TV ,Action,Mystery,Supernatural,,,3,Aniplex of America,,
Phantom: Requiem for the Phantom,"Apr 3, 2009, 02:15 (JST)",8.0,279390,Bee Train,"Action,Drama,Seinen,Thriller",26 eps,Visual novel,"      TV -                        Apr 3, 2009, 02:15 (JST)              ","Funimation,",      TV ,Action,Drama,Seinen,Thriller,,4,Funimation,,
Durarara!!x2 Ten,"Jul 4, 2015, 23:30 (JST)",8.0,326007,Shuka,"Action,Mystery,Supernatural",12 eps,Light novel,"      TV -                        Jul 4, 2015, 23:30 (JST)              ","Aniplex of America,",      TV ,Action,Mystery,Supernatural,,,3,Aniplex of America,,
JoJo no Kimyou na Bouken (TV),"Oct 6, 2012, 00:30 (JST)",8.0,1086594,David Production,"Action,Adventure,Supernatural,Vampire,Shounen",26 eps,Manga,"      TV -                        Oct 6, 2012, 00:30 (JST)              ","VIZ Media,Warner Bros. Pictures,",      TV ,Action,Adventure,Supernatural,Vampire,Shounen,5,VIZ Media,Warner Bros. Pictures,
Tate no Yuusha no Nariagari,"Jan 9, 2019, 22:00 (JST)",8.0,1015174,Kinema Citrus,"Action,Adventure,Drama,Fantasy",25 eps,Light novel,"      TV -                        Jan 9, 2019, 22:00 (JST)              ","Funimation,",      TV ,Action,Adventure,Drama,Fantasy,,4,Funimation,,
Youjo Senki,"Jan 6, 2017, 22:00 (JST)",7.99,646315,Nut,"Action,Military,Magic",12 eps,Light novel,"      TV -                        Jan 6, 2017, 22:00 (JST)              ","Crunchyroll,Funimation,",      TV ,Action,Military,Magic,,,3,Crunchyroll,Funimation,
Noragami,"Jan 5, 2014, 23:30 (JST)",7.99,1646167,Bones,"Action,Adventure,Comedy,Supernatural,Shounen",12 eps,Manga,"      TV -                        Jan 5, 2014, 23:30 (JST)              ","Funimation,",      TV ,Action,Adventure,Comedy,Supernatural,Shounen,5,Funimation,,
Black Clover,"Oct 3, 2017, 18:25 (JST)",7.98,992050,Studio Pierrot,"Action,Comedy,Magic,Fantasy,Shounen",170 eps,Manga,"      TV -                        Oct 3, 2017, 18:25 (JST)              ","Crunchyroll,Funimation,",      TV ,Action,Comedy,Magic,Fantasy,Shounen,5,Crunchyroll,Funimation,
Log Horizon,"Oct 5, 2013, 17:30 (JST)",7.98,918404,Satelight,"Action,Game,Adventure,Magic,Fantasy",25 eps,Light novel,"      TV -                        Oct 5, 2013, 17:30 (JST)              ","Sentai Filmworks,",      TV ,Action,Game,Adventure,Magic,Fantasy,5,Sentai Filmworks,,
Zetsuen no Tempest,"Oct 5, 2012, 02:00 (JST)",7.97,499939,Bones,"Action,Mystery,Psychological,Drama,Magic,Fantasy,Shounen",24 eps,Manga,"      TV -                        Oct 5, 2012, 02:00 (JST)              ","Aniplex of America,",      TV ,Action,Mystery,Psychological,Drama,Magic,7,Aniplex of America,,
Quanzhi Gaoshou,"Apr 7, 2017",7.96,293701,B.CMAY PICTURES,"Action,Game",12 eps,Novel,"      ONA -                        Apr 7, 2017              ",,      ONA ,Action,Game,,,,2,,,
Overlord,"Jul 7, 2015, 23:00 (JST)",7.94,1119101,Madhouse,"Action,Adventure,Fantasy,Game,Magic,Supernatural",13 eps,Light novel,"      TV -                        Jul 7, 2015, 23:00 (JST)              ","Funimation,",      TV ,Action,Adventure,Fantasy,Game,Magic,6,Funimation,,
Overlord III,"Jul 10, 2018, 22:00 (JST)",7.93,598733,Madhouse,"Action,Game,Supernatural,Magic,Fantasy",13 eps,Light novel,"      TV -                        Jul 10, 2018, 22:00 (JST)              ","Funimation,",      TV ,Action,Game,Supernatural,Magic,Fantasy,5,Funimation,,
Drifters,"Oct 7, 2016, 23:00 (JST)",7.93,432523,Hoods Drifters Studio,"Action,Adventure,Comedy,Historical,Samurai,Fantasy,Seinen",12 eps,Manga,"      TV -                        Oct 7, 2016, 23:00 (JST)              ","Funimation,",      TV ,Action,Adventure,Comedy,Historical,Samurai,7,Funimation,,
Naruto,"Oct 3, 2002, 19:30 (JST)",7.92,2026379,Studio Pierrot,"Action,Adventure,Comedy,Super Power,Martial Arts,Shounen",220 eps,Manga,"      TV -                        Oct 3, 2002, 19:30 (JST)              ","VIZ Media,",      TV ,Action,Adventure,Comedy,Super Power,Martial Arts,6,VIZ Media,,
Megalo Box,"Apr 6, 2018, 01:28 (JST)",7.91,379895,TMS Entertainment,"Action,Sci-Fi,Sports,Drama",13 eps,Original,"      TV -                        Apr 6, 2018, 01:28 (JST)              ","VIZ Media,",      TV ,Action,Sci-Fi,Sports,Drama,,4,VIZ Media,,
Beelzebub,"Jan 9, 2011",7.9,484099,Pierrot Plus,"Action,Comedy,Demons,Supernatural,School,Shounen",60 eps,Manga,"      TV -                        Jan 9, 2011              ","Discotek Media,",      TV ,Action,Comedy,Demons,Supernatural,School,6,Discotek Media,,
Magi: Sinbad no Bouken (TV),"Apr 16, 2016, 02:25 (JST)",7.89,370885,Lay-duce,"Action,Adventure,Fantasy,Magic,Shounen",13 eps,Manga,"      TV -                        Apr 16, 2016, 02:25 (JST)              ",,      TV ,Action,Adventure,Fantasy,Magic,Shounen,5,,,
Soul Eater,"Apr 7, 2008, 18:00 (JST)",7.86,1292700,Bones,"Action,Fantasy,Comedy,Supernatural,Shounen",51 eps,Manga,"      TV -                        Apr 7, 2008, 18:00 (JST)              ","Funimation,",      TV ,Action,Fantasy,Comedy,Supernatural,Shounen,5,Funimation,,
Kekkai Sensen & Beyond,"Oct 8, 2017, 03:08 (JST)",7.86,320477,Bones,"Action,Comedy,Fantasy,Shounen,Super Power,Supernatural,Vampire",12 eps,Manga,"      TV -                        Oct 8, 2017, 03:08 (JST)              ","Funimation,",      TV ,Action,Comedy,Fantasy,Shounen,Super Power,7,Funimation,,
InuYasha,"Oct 16, 2000, 19:00 (JST)",7.85,621167,Sunrise,"Action,Adventure,Comedy,Historical,Demons,Supernatural,Magic,Romance,Fantasy,Shounen",167 eps,Manga,"      TV -                        Oct 16, 2000, 19:00 (JST)              ","VIZ Media,",      TV ,Action,Adventure,Comedy,Historical,Demons,10,VIZ Media,,
91 Days,"Jul 9, 2016, 01:55 (JST)",7.84,513789,Shuka,"Action,Drama,Historical",12 eps,Original,"      TV -                        Jul 9, 2016, 01:55 (JST)              ","Crunchyroll,Funimation,",      TV ,Action,Drama,Historical,,,3,Crunchyroll,Funimation,
Shingeki no Kyojin OVA,"Dec 9, 2013",7.84,333165,Wit Studio,"Action,Super Power,Drama,Fantasy,Shounen",3 eps,Manga,"      OVA -                        Dec 9, 2013              ",,      OVA ,Action,Super Power,Drama,Fantasy,Shounen,5,,,
Jormungand,"Apr 11, 2012",7.84,283096,White Fox,"Action,Adventure,Seinen",12 eps,Manga,"      TV -                        Apr 11, 2012              ","Funimation,",      TV ,Action,Adventure,Seinen,,,3,Funimation,,
Golden Kamuy,"Apr 9, 2018, 23:00 (JST)",7.84,243052,Geno Studio,"Action,Adventure,Historical,Seinen",12 eps,Manga,"      TV -                        Apr 9, 2018, 23:00 (JST)              ","Funimation,",      TV ,Action,Adventure,Historical,Seinen,,4,Funimation,,
Nanatsu no Taizai,"Oct 5, 2014, 17:00 (JST)",7.82,1532987,A-1 Pictures,"Action,Adventure,Supernatural,Magic,Fantasy,Shounen",24 eps,Manga,"      TV -                        Oct 5, 2014, 17:00 (JST)              ","Funimation,",      TV ,Action,Adventure,Supernatural,Magic,Fantasy,6,Funimation,,
Wolf's Rain,"Jan 7, 2003, 02:10 (JST)",7.82,279866,Bones,"Action,Adventure,Drama,Fantasy,Mystery,Sci-Fi",26 eps,Original,"      TV -                        Jan 7, 2003, 02:10 (JST)              ","Bandai Entertainment,Funimation,",      TV ,Action,Adventure,Drama,Fantasy,Mystery,6,Bandai Entertainment,Funimation,
Higashi no Eden,"Apr 10, 2009, 00:45 (JST)",7.81,481214,Production I.G,"Action,Sci-Fi,Mystery,Drama,Romance,Thriller",11 eps,Original,"      TV -                        Apr 10, 2009, 00:45 (JST)              ","Funimation,",      TV ,Action,Sci-Fi,Mystery,Drama,Romance,6,Funimation,,
Devilman: Crybaby,"Jan 5, 2018",7.81,739004,Science SARU,"Action,Dementia,Demons,Horror,Supernatural",10 eps,Manga,"      ONA -                        Jan 5, 2018              ",,      ONA ,Action,Dementia,Demons,Horror,Supernatural,5,,,
Tokyo Ghoul,"Jul 4, 2014, 00:00 (JST)",7.8,2072884,Studio Pierrot,"Action,Mystery,Horror,Psychological,Supernatural,Drama,Seinen",12 eps,Manga,"      TV -                        Jul 4, 2014, 00:00 (JST)              ","Funimation,",      TV ,Action,Mystery,Horror,Psychological,Supernatural,7,Funimation,,
Bleach,"Oct 5, 2004, 18:00 (JST)",7.8,1378155,Studio Pierrot,"Action,Adventure,Comedy,Super Power,Supernatural,Shounen",366 eps,Manga,"      TV -                        Oct 5, 2004, 18:00 (JST)              ","VIZ Media,",      TV ,Action,Adventure,Comedy,Super Power,Supernatural,6,VIZ Media,,
Bungou Stray Dogs,"Apr 7, 2016, 01:05 (JST)",7.79,880794,Bones,"Action,Comedy,Mystery,Seinen,Super Power,Supernatural",12 eps,Manga,"      TV -                        Apr 7, 2016, 01:05 (JST)              ","Crunchyroll,Funimation,",      TV ,Action,Comedy,Mystery,Seinen,Super Power,6,Crunchyroll,Funimation,
Shaman King,"Jul 4, 2001, 18:30 (JST)",7.78,308090,Xebec,"Action,Adventure,Comedy,Super Power,Supernatural,Shounen",64 eps,Manga,"      TV -                        Jul 4, 2001, 18:30 (JST)              ","4Kids Entertainment,",      TV ,Action,Adventure,Comedy,Super Power,Supernatural,6,4Kids Entertainment,,
Digimon Adventure,"Mar 7, 1999, 09:00 (JST)",7.78,338548,Toei Animation,"Action,Adventure,Comedy,Fantasy,Kids",54 eps,Other,"      TV -                        Mar 7, 1999, 09:00 (JST)              ","Flatiron Film Company,Saban Entertainment,",      TV ,Action,Adventure,Comedy,Fantasy,Kids,5,Flatiron Film Company,Saban Entertainment,
Claymore,"Apr 4, 2007",7.77,562342,Madhouse,"Action,Adventure,Super Power,Demons,Supernatural,Fantasy,Shounen",26 eps,Manga,"      TV -                        Apr 4, 2007              ","Funimation,",      TV ,Action,Adventure,Super Power,Demons,Supernatural,7,Funimation,,
The Last: Naruto the Movie,"Dec 6, 2014",7.76,398064,Studio Pierrot,"Action,Super Power,Romance,Martial Arts,Shounen",1 ep,Manga,"      Movie -                        Dec 6, 2014              ","VIZ Media,",      Movie ,Action,Super Power,Romance,Martial Arts,Shounen,5,VIZ Media,,
Overlord II,"Jan 9, 2018, 22:30 (JST)",7.76,702026,Madhouse,"Action,Game,Adventure,Supernatural,Magic,Fantasy",13 eps,Light novel,"      TV -                        Jan 9, 2018, 22:30 (JST)              ","Funimation,",      TV ,Action,Game,Adventure,Supernatural,Magic,6,Funimation,,
"Gate: Jieitai Kanochi nite, Kaku Tatakaeri 2nd Season","Jan 9, 2016, 01:05 (JST)",7.76,433564,A-1 Pictures,"Action,Military,Adventure,Fantasy",12 eps,Light novel,"      TV -                        Jan 9, 2016, 01:05 (JST)              ","Sentai Filmworks,",      TV ,Action,Military,Adventure,Fantasy,,4,Sentai Filmworks,,
Nanatsu no Taizai: Imashime no Fukkatsu,"Jan 13, 2018, 06:30 (JST)",7.76,825915,A-1 Pictures,"Action,Adventure,Fantasy,Magic,Shounen,Supernatural",24 eps,Manga,"      TV -                        Jan 13, 2018, 06:30 (JST)              ",,      TV ,Action,Adventure,Fantasy,Magic,Shounen,6,,,
Noragami OVA,"Feb 17, 2014",7.75,265880,Bones,"Action,Adventure,Comedy,Supernatural,Shounen",2 eps,Manga,"      OVA -                        Feb 17, 2014              ",,      OVA ,Action,Adventure,Comedy,Supernatural,Shounen,5,,,
Enen no Shouboutai: Ni no Shou,"Jul 4, 2020, 01:55 (JST)",7.75,424249,David Production,"Action,Supernatural,Shounen",24 eps,Manga,"      TV -                        Jul 4, 2020, 01:55 (JST)              ","Funimation,",      TV ,Action,Supernatural,Shounen,,,3,Funimation,,
"Gate: Jieitai Kanochi nite, Kaku Tatakaeri","Jul 4, 2015, 00:30 (JST)",7.73,628185,A-1 Pictures,"Action,Adventure,Fantasy,Military",12 eps,Light novel,"      TV -                        Jul 4, 2015, 00:30 (JST)              ","Sentai Filmworks,",      TV ,Action,Adventure,Fantasy,Military,,4,Sentai Filmworks,,
Kuroshitsuji,"Oct 3, 2008",7.72,929578,A-1 Pictures,"Action,Mystery,Comedy,Historical,Demons,Supernatural,Shounen",24 eps,Manga,"      TV -                        Oct 3, 2008              ","Aniplex of America,Funimation,",      TV ,Action,Mystery,Comedy,Historical,Demons,7,Aniplex of America,Funimation,
One Punch Man Specials,"Dec 24, 2015",7.72,238574,Madhouse,"Action,Sci-Fi,Comedy,Parody,Super Power,Supernatural",6 eps,Web manga,"      Special -                        Dec 24, 2015              ","VIZ Media,",      Special ,Action,Sci-Fi,Comedy,Parody,Super Power,6,VIZ Media,,
Panty & Stocking with Garterbelt,"Oct 2, 2010",7.72,307027,Gainax,"Action,Comedy,Parody,Supernatural,Ecchi",13 eps,Original,"      TV -                        Oct 2, 2010              ","Funimation,",      TV ,Action,Comedy,Parody,Supernatural,Ecchi,5,Funimation,,
One Punch Man: Road to Hero,"Dec 4, 2015",7.72,251888,Madhouse,"Action,Sci-Fi,Comedy,Parody,Super Power,Supernatural",1 ep,Web manga,"      OVA -                        Dec 4, 2015              ",,      OVA ,Action,Sci-Fi,Comedy,Parody,Super Power,6,,,
Toaru Kagaku no Railgun,"Oct 3, 2009, 01:30 (JST)",7.71,486618,J.C.Staff,"Action,Sci-Fi,Super Power",24 eps,Manga,"      TV -                        Oct 3, 2009, 01:30 (JST)              ","Funimation,",      TV ,Action,Sci-Fi,Super Power,,,3,Funimation,,
Nejimaki Seirei Senki: Tenkyou no Alderamin,"Jul 9, 2016, 01:05 (JST)",7.71,256535,Madhouse,"Action,Adventure,Fantasy,Military",13 eps,Light novel,"      TV -                        Jul 9, 2016, 01:05 (JST)              ","Crunchyroll,Funimation,",      TV ,Action,Adventure,Fantasy,Military,,4,Crunchyroll,Funimation,
Dragon Ball Kai,"Apr 5, 2009, 09:00 (JST)",7.71,288407,Toei Animation,"Action,Adventure,Comedy,Fantasy,Martial Arts,Shounen,Super Power",97 eps,Manga,"      TV -                        Apr 5, 2009, 09:00 (JST)              ","Funimation,",      TV ,Action,Adventure,Comedy,Fantasy,Martial Arts,7,Funimation,,
Arslan Senki (TV),"Apr 5, 2015, 17:00 (JST)",7.7,313966,LIDENFILMS,"Action,Adventure,Drama,Fantasy,Historical,Shounen",25 eps,Manga,"      TV -                        Apr 5, 2015, 17:00 (JST)              ","Funimation,",      TV ,Action,Adventure,Drama,Fantasy,Historical,6,Funimation,,
Akudama Drive,"Oct 8, 2020, 21:30 (JST)",7.69,253288,Studio Pierrot,"Action,Sci-Fi",12 eps,Original,"      TV -                        Oct 8, 2020, 21:30 (JST)              ","Funimation,",      TV ,Action,Sci-Fi,,,,2,Funimation,,
Fairy Tail (2014),"Apr 5, 2014, 10:30 (JST)",7.69,760335,A-1 Pictures,"Action,Adventure,Comedy,Fantasy,Magic,Shounen",102 eps,Manga,"      TV -                        Apr 5, 2014, 10:30 (JST)              ","Funimation,",      TV ,Action,Adventure,Comedy,Fantasy,Magic,6,Funimation,,
Inuyashiki,"Oct 13, 2017, 00:55 (JST)",7.68,453999,MAPPA,"Action,Drama,Psychological,Sci-Fi,Seinen",11 eps,Manga,"      TV -                        Oct 13, 2017, 00:55 (JST)              ",,      TV ,Action,Drama,Psychological,Sci-Fi,Seinen,5,,,
Hai to Gensou no Grimgar,"Jan 11, 2016, 00:30 (JST)",7.68,570123,A-1 Pictures,"Action,Adventure,Drama,Fantasy",12 eps,Light novel,"      TV -                        Jan 11, 2016, 00:30 (JST)              ","Funimation,",      TV ,Action,Adventure,Drama,Fantasy,,4,Funimation,,
Enen no Shouboutai,"Jul 6, 2019, 01:25 (JST)",7.67,809350,David Production,"Action,Supernatural,Shounen",24 eps,Manga,"      TV -                        Jul 6, 2019, 01:25 (JST)              ","Funimation,",      TV ,Action,Supernatural,Shounen,,,3,Funimation,,
Naruto: Shippuuden Movie 6 - Road to Ninja,"Jul 28, 2012",7.66,242075,Studio Pierrot,"Action,Adventure,Super Power,Martial Arts,Shounen",1 ep,Manga,"      Movie -                        Jul 28, 2012              ","VIZ Media,",      Movie ,Action,Adventure,Super Power,Martial Arts,Shounen,5,VIZ Media,,
Shingeki no Bahamut: Genesis,"Oct 6, 2014, 23:30 (JST)",7.66,342009,MAPPA,"Action,Adventure,Demons,Supernatural,Magic,Fantasy",12 eps,Card game,"      TV -                        Oct 6, 2014, 23:30 (JST)              ","Funimation,",      TV ,Action,Adventure,Demons,Supernatural,Magic,6,Funimation,,
Blood+,"Oct 8, 2005, 18:00 (JST)",7.65,327092,Production I.G,"Action,Military,Mystery,Horror,Supernatural,Drama,Vampire",50 eps,Original,"      TV -                        Oct 8, 2005, 18:00 (JST)              ","Sony Pictures Entertainment,",      TV ,Action,Military,Mystery,Horror,Supernatural,7,Sony Pictures Entertainment,,
Ajin 2nd Season,"Oct 8, 2016, 02:25 (JST)",7.65,237913,Polygon Pictures,"Action,Horror,Mystery,Seinen,Supernatural",13 eps,Manga,"      TV -                        Oct 8, 2016, 02:25 (JST)              ","Sentai Filmworks,",      TV ,Action,Horror,Mystery,Seinen,Supernatural,5,Sentai Filmworks,,
Boku no Hero Academia the Movie 1: Futari no Hero,"Aug 3, 2018",7.65,489751,Bones,"Action,Shounen,Super Power",1 ep,Manga,"      Movie -                        Aug 3, 2018              ","Funimation,",      Movie ,Action,Shounen,Super Power,,,3,Funimation,,
Kekkai Sensen,"Apr 5, 2015, 02:28 (JST)",7.64,659778,Bones,"Action,Comedy,Super Power,Supernatural,Vampire,Fantasy,Shounen",12 eps,Manga,"      TV -                        Apr 5, 2015, 02:28 (JST)              ","Funimation,",      TV ,Action,Comedy,Super Power,Supernatural,Vampire,7,Funimation,,
Full Metal Panic!,"Jan 8, 2002, 18:30 (JST)",7.64,422877,Gonzo,"Action,Military,Sci-Fi,Comedy,Mecha",24 eps,Light novel,"      TV -                        Jan 8, 2002, 18:30 (JST)              ","ADV Films,Funimation,",      TV ,Action,Military,Sci-Fi,Comedy,Mecha,5,ADV Films,Funimation,
Owari no Seraph: Nagoya Kessen-hen,"Oct 10, 2015, 22:00 (JST)",7.63,576175,Wit Studio,"Action,Military,Supernatural,Drama,Vampire,Shounen",12 eps,Manga,"      TV -                        Oct 10, 2015, 22:00 (JST)              ","Funimation,",      TV ,Action,Military,Supernatural,Drama,Vampire,6,Funimation,,
Kara no Kyoukai 1: Fukan Fuukei,"Dec 1, 2007",7.63,338514,ufotable,"Action,Mystery,Supernatural,Thriller",1 ep,Light novel,"      Movie -                        Dec 1, 2007              ","Aniplex of America,",      Movie ,Action,Mystery,Supernatural,Thriller,,4,Aniplex of America,,
Fairy Tail,"Oct 12, 2009, 10:30 (JST)",7.63,1396276,A-1 Pictures,"Action,Adventure,Comedy,Magic,Fantasy,Shounen",175 eps,Manga,"      TV -                        Oct 12, 2009, 10:30 (JST)              ","Funimation,",      TV ,Action,Adventure,Comedy,Magic,Fantasy,6,Funimation,,
Log Horizon 2nd Season,"Oct 4, 2014, 17:30 (JST)",7.61,508113,Studio Deen,"Action,Game,Adventure,Magic,Fantasy",25 eps,Light novel,"      TV -                        Oct 4, 2014, 17:30 (JST)              ","Sentai Filmworks,",      TV ,Action,Game,Adventure,Magic,Fantasy,5,Sentai Filmworks,,
Kami no Tou,"Apr 2, 2020, 00:30 (JST)",7.61,604881,Telecom Animation Film,"Action,Adventure,Mystery,Drama,Fantasy",13 eps,Web manga,"      TV -                        Apr 2, 2020, 00:30 (JST)              ","Crunchyroll,",      TV ,Action,Adventure,Mystery,Drama,Fantasy,5,Crunchyroll,,
K: Return of Kings,"Oct 3, 2015, 01:55 (JST)",7.61,269675,GoHands,"Action,Super Power,Supernatural",13 eps,Original,"      TV -                        Oct 3, 2015, 01:55 (JST)              ","VIZ Media,",      TV ,Action,Super Power,Supernatural,,,3,VIZ Media,,
Dungeon ni Deai wo Motomeru no wa Machigatteiru Darou ka,"Apr 4, 2015, 01:05 (JST)",7.61,1155001,J.C.Staff,"Action,Adventure,Comedy,Romance,Fantasy",13 eps,Light novel,"      TV -                        Apr 4, 2015, 01:05 (JST)              ","Sentai Filmworks,",      TV ,Action,Adventure,Comedy,Romance,Fantasy,5,Sentai Filmworks,,
Sword Art Online Movie: Ordinal Scale,"Feb 18, 2017",7.61,548280,A-1 Pictures,"Action,Game,Adventure,Romance,Fantasy",1 ep,Original,"      Movie -                        Feb 18, 2017              ","Aniplex of America,",      Movie ,Action,Game,Adventure,Romance,Fantasy,5,Aniplex of America,,
Angel Beats! Specials,"Dec 22, 2010",7.6,235859,P.A. Works,"Action,Comedy,School,Supernatural",2 eps,Original,"      Special -                        Dec 22, 2010              ","Sentai Filmworks,",      Special ,Action,Comedy,School,Supernatural,,4,Sentai Filmworks,,
Evangelion: 3.0 You Can (Not) Redo,"Nov 17, 2012",7.6,288790,Khara,"Action,Sci-Fi,Psychological,Drama,Mecha",1 ep,Original,"      Movie -                        Nov 17, 2012              ","Funimation,",      Movie ,Action,Sci-Fi,Psychological,Drama,Mecha,5,Funimation,,
Sword Art Online: Alicization - War of Underworld,"Oct 13, 2019, 00:00 (JST)",7.6,483322,A-1 Pictures,"Action,Game,Adventure,Romance,Fantasy",12 eps,Light novel,"      TV -                        Oct 13, 2019, 00:00 (JST)              ","Aniplex of America,",      TV ,Action,Game,Adventure,Romance,Fantasy,5,Aniplex of America,,
Toaru Majutsu no Index II,"Oct 8, 2010, 23:30 (JST)",7.59,383204,J.C.Staff,"Action,Magic,Sci-Fi,Super Power",24 eps,Light novel,"      TV -                        Oct 8, 2010, 23:30 (JST)              ","Funimation,",      TV ,Action,Magic,Sci-Fi,Super Power,,4,Funimation,,
Shakugan no Shana II (Second),"Oct 5, 2007, 01:25 (JST)",7.59,276586,J.C.Staff,"Action,Supernatural,Drama,Romance,Fantasy,School",24 eps,Light novel,"      TV -                        Oct 5, 2007, 01:25 (JST)              ","Funimation,",      TV ,Action,Supernatural,Drama,Romance,Fantasy,6,Funimation,,
Densetsu no Yuusha no Densetsu,"Jul 2, 2010",7.58,252808,Zexcs,"Action,Adventure,Magic,Fantasy,Shounen",24 eps,Light novel,"      TV -                        Jul 2, 2010              ","Funimation,",      TV ,Action,Adventure,Magic,Fantasy,Shounen,5,Funimation,,
World Trigger,"Oct 5, 2014, 06:30 (JST)",7.58,290612,Toei Animation,"Action,Sci-Fi,Supernatural,School,Shounen",73 eps,Manga,"      TV -                        Oct 5, 2014, 06:30 (JST)              ",,      TV ,Action,Sci-Fi,Supernatural,School,Shounen,5,,,
No.6,"Jul 8, 2011, 01:15 (JST)",7.57,348911,Bones,"Action,Sci-Fi,Mystery,Drama",11 eps,Novel,"      TV -                        Jul 8, 2011, 01:15 (JST)              ","Sentai Filmworks,",      TV ,Action,Sci-Fi,Mystery,Drama,,4,Sentai Filmworks,,
Itai no wa Iya nano de Bougyoryoku ni Kyokufuri Shitai to Omoimasu.,"Jan 8, 2020, 22:00 (JST)",7.57,313166,SILVER LINK.,"Action,Game,Sci-Fi,Adventure,Comedy,Fantasy",12 eps,Light novel,"      TV -                        Jan 8, 2020, 22:00 (JST)              ","Funimation,",      TV ,Action,Game,Sci-Fi,Adventure,Comedy,6,Funimation,,
Re:Creators,"Apr 8, 2017, 23:30 (JST)",7.57,381317,TROYCA,"Action,Sci-Fi,Fantasy,Mecha",22 eps,Original,"      TV -                        Apr 8, 2017, 23:30 (JST)              ",,      TV ,Action,Sci-Fi,Fantasy,Mecha,,4,,,
Ao no Exorcist,"Apr 17, 2011, 17:00 (JST)",7.56,1510974,A-1 Pictures,"Action,Demons,Fantasy,Shounen,Supernatural",25 eps,Manga,"      TV -                        Apr 17, 2011, 17:00 (JST)              ","Aniplex of America,",      TV ,Action,Demons,Fantasy,Shounen,Supernatural,5,Aniplex of America,,
Sword Art Online: Alicization,"Oct 7, 2018, 00:00 (JST)",7.56,720186,A-1 Pictures,"Action,Game,Adventure,Romance,Fantasy",24 eps,Light novel,"      TV -                        Oct 7, 2018, 00:00 (JST)              ","Aniplex of America,",      TV ,Action,Game,Adventure,Romance,Fantasy,5,Aniplex of America,,
Elfen Lied,"Jul 25, 2004, 22:30 (JST)",7.55,1241725,Arms,"Action,Horror,Psychological,Supernatural,Drama,Romance,Seinen",13 eps,Manga,"      TV -                        Jul 25, 2004, 22:30 (JST)              ","ADV Films,",      TV ,Action,Horror,Psychological,Supernatural,Drama,7,ADV Films,,
